task_id,family,baseline_stability,baseline_n_pass,dense_n_pass,hybrid_n_pass,note
v210_count_smaller_after_self,count,stable_fail,0,0,0,
v210_deep_delete,deep,stable_fail,0,0,0,
v210_deep_filter,deep,flip,2,1,2,
v210_deep_keys,deep,flip,1,1,2,
v210_deep_merge,deep,stable_pass,3,3,3,
v210_deep_update_if,deep,stable_pass,3,3,3,
v210_find_peak_element,find,flip,1,3,1,
v210_flatten_dict,flatten,stable_pass,3,3,3,
v210_insert_interval,insert,flip,1,0,0,
v210_interval_intersection,interval,stable_fail,0,1,0,
v210_interval_union,interval,stable_fail,0,0,0,
v210_kth_smallest_matrix,kth,stable_fail,0,2,1,
v210_meeting_rooms,meeting,flip,2,1,1,
v210_merge_sorted_k,merge,stable_pass,3,3,3,
v210_non_overlapping_intervals,non,stable_pass,3,3,3,
v210_range_summary,range,flip,1,3,3,
v210_rle_compress,rle,flip,2,3,3,
v210_rle_delta_encode,rle,stable_fail,0,1,2,
v210_rle_expand,rle,flip,2,3,2,
v210_rle_longest_run,rle,stable_pass,3,3,3,
v210_rle_roundtrip,rle,stable_pass,3,3,3,
v210_running_median,running,flip,2,3,2,
v210_search_rotated_sorted,search,stable_pass,3,3,3,
v210_tree_from_list,tree,stable_fail,0,0,0,
v210_tree_leaves,tree,stable_pass,3,1,3,
v210_tree_max_path_sum,tree,stable_fail,0,0,0,
v210_tree_mirror,tree,stable_pass,3,3,3,
v210_tree_serialize,tree,stable_fail,0,0,0,
v210_tree_sum,tree,stable_pass,3,2,3,
v210_tree_width,tree,stable_fail,0,0,0,
v210_unflatten_dict,unflatten,flip,2,3,1,
v210_wiggle_sort,wiggle,stable_fail,0,0,0,
