task_id,run1,run2,run3,n_pass,n_runs,pass_rate,stability
v210_count_smaller_after_self,0,0,0,0,3,0/3,stable_fail
v210_deep_delete,0,0,0,0,3,0/3,stable_fail
v210_deep_filter,1,0,1,2,3,2/3,flip
v210_deep_keys,1,0,0,1,3,1/3,flip
v210_deep_merge,1,1,1,3,3,3/3,stable_pass
v210_deep_update_if,1,1,1,3,3,3/3,stable_pass
v210_find_peak_element,0,1,0,1,3,1/3,flip
v210_flatten_dict,1,1,1,3,3,3/3,stable_pass
v210_insert_interval,0,0,1,1,3,1/3,flip
v210_interval_intersection,0,0,0,0,3,0/3,stable_fail
v210_interval_union,0,0,0,0,3,0/3,stable_fail
v210_kth_smallest_matrix,0,0,0,0,3,0/3,stable_fail
v210_meeting_rooms,1,1,0,2,3,2/3,flip
v210_merge_sorted_k,1,1,1,3,3,3/3,stable_pass
v210_non_overlapping_intervals,1,1,1,3,3,3/3,stable_pass
v210_range_summary,0,1,0,1,3,1/3,flip
v210_rle_compress,1,0,1,2,3,2/3,flip
v210_rle_delta_encode,0,0,0,0,3,0/3,stable_fail
v210_rle_expand,1,0,1,2,3,2/3,flip
v210_rle_longest_run,1,1,1,3,3,3/3,stable_pass
v210_rle_roundtrip,1,1,1,3,3,3/3,stable_pass
v210_running_median,1,0,1,2,3,2/3,flip
v210_search_rotated_sorted,1,1,1,3,3,3/3,stable_pass
v210_tree_from_list,0,0,0,0,3,0/3,stable_fail
v210_tree_leaves,1,1,1,3,3,3/3,stable_pass
v210_tree_max_path_sum,0,0,0,0,3,0/3,stable_fail
v210_tree_mirror,1,1,1,3,3,3/3,stable_pass
v210_tree_serialize,0,0,0,0,3,0/3,stable_fail
v210_tree_sum,1,1,1,3,3,3/3,stable_pass
v210_tree_width,0,0,0,0,3,0/3,stable_fail
v210_unflatten_dict,0,1,1,2,3,2/3,flip
v210_wiggle_sort,0,0,0,0,3,0/3,stable_fail
